comment,"OptiTrack Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: A comment. You can ignore this information"
comment,"== info: Reports the file format version number, the number of rigid body definitions, and"
comment,"==       total number of exported frames"
comment,"== rigidbody: Details a rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Rigid Body Count (integer) number of rigid bodies tracked in current frame"
comment,"==    -- Rigid Body ID, Position, Quaternion Orientation, and Euler Angle Orientation >for each tracked rigid body< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visible markers in frame"
comment,"==    -- Marker Detail >for each reconstructed 3D marker< (x,y,z,id,name)"
comment,"== rigidbody: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Rigid Body Marker Location and ID >for each marker in rigid body< (x,y,z,id)"
comment,"==    -- Point Cloud Marker corresponding to each rigid body marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,version,1.1
info,framecount,962
info,rigidbodycount,2
rigidbody,3,0.02500000,"Wood_block",2,0,3,0.30851841,1.51545513,1.43102074,2,0.31389260,1.48686290,1.46217871,4,0.30629018,1.51814151,1.47144485,6,0.30851841,1.51545513,1.43102074,0.31389260,1.48686290,1.46217871,0.30629018,1.51814151,1.47144485,1,1,1,0.99989200,0.99989569,0.99992180,0.00000005
frame,4,0.03333333,2,1,0.10105559,0.05464221,-0.21045041,0.00264979,-0.00907575,0.00092454,0.99995482,-1.03973544,0.10869516,0.30267000,2,0.30930462,1.50712705,1.45525873,-0.62381625,-0.00969715,-0.07506007,0.77789795,4.54380512,-7.40468264,-77.74821472,6,0.30229157,0.05548573,-0.08053680,1,Ground-Marker 1,0.00408597,0.05391458,-0.07622681,2,Ground-Marker 2,-0.00321078,0.05452634,-0.47458759,3,Ground-Marker 3,0.30802336,1.51566517,1.43137443,2,Wood_block-Marker 1,0.31371936,1.48720396,1.46259522,4,Wood_block-Marker 2,0.30617118,1.51851189,1.47180653,6,Wood_block-Marker 3
rigidbody,4,0.03333333,"Ground",1,0,3,0.30229157,0.05548573,-0.08053681,1,0.00408600,0.05391458,-0.07622682,2,-0.00321076,0.05452634,-0.47458756,3,0.30229157,0.05548573,-0.08053680,0.00408597,0.05391458,-0.07622681,-0.00321078,0.05452634,-0.47458759,1,1,1,0.99985099,0.99991059,0.99988079,0.00000006
rigidbody,4,0.03333333,"Wood_block",2,0,3,0.30802336,1.51566517,1.43137443,2,0.31371936,1.48720396,1.46259522,4,0.30617115,1.51851201,1.47180665,6,0.30802336,1.51566517,1.43137443,0.31371936,1.48720396,1.46259522,0.30617118,1.51851189,1.47180653,1,1,1,0.99992919,0.99995530,0.99990690,0.00000003
frame,5,0.04166667,2,1,0.10104425,0.05463173,-0.21045601,0.00263278,-0.00906924,0.00090588,0.99995500,-1.03899693,0.10653751,0.30074114,2,0.30925000,1.50774324,1.45542729,-0.62745142,-0.01052475,-0.08010110,0.77445316,4.87730026,-7.89028835,-78.36441040,6,0.30227858,0.05547344,-0.08053986,1,Ground-Marker 1,0.00407290,0.05391251,-0.07623363,2,Ground-Marker 2,-0.00321871,0.05450927,-0.47459453,3,Ground-Marker 3,0.30822408,1.51611114,1.43147063,2,Wood_block-Marker 1,0.31341511,1.48783433,1.46294594,4,Wood_block-Marker 2,0.30611074,1.51928425,1.47186553,6,Wood_block-Marker 3
rigidbody,5,0.04166667,"Ground",1,0,3,0.30227858,0.05547344,-0.08053988,1,0.00407293,0.05391250,-0.07623364,2,-0.00321872,0.05450926,-0.47459450,3,0.30227858,0.05547344,-0.08053986,0.00407290,0.05391251,-0.07623363,-0.00321871,0.05450927,-0.47459453,1,1,1,0.99991059,0.99997020,0.99988079,0.00000004
rigidbody,5,0.04166667,"Wood_block",2,0,3,0.30822408,1.51611114,1.43147051,2,0.31341514,1.48783433,1.46294594,4,0.30611074,1.51928425,1.47186553,6,0.30822408,1.51611114,1.43147063,0.31341511,1.48783433,1.46294594,0.30611074,1.51928425,1.47186553,1,1,1,0.99983239,0.99992919,0.99983609,0.00000007
frame,6,0.05000000,2,1,0.10113469,0.05461590,-0.21048415,0.00260518,-0.00938615,0.00086688,0.99995214,-1.07532775,0.10213439,0.29758686,2,0.30880576,1.50848615,1.45559800,-0.62650156,-0.01179859,-0.08203313,0.77500135,4.89696503,-8.15984726,-78.25279999,6,0.30245140,0.05545687,-0.08069571,1,Ground-Marker 1,0.00424846,0.05391235,-0.07620023,2,Ground-Marker 2,-0.00329577,0.05447849,-0.47455645,3,Ground-Marker 3,0.30776513,1.51673520,1.43160069,2,Wood_block-Marker 1,0.31300953,1.48862231,1.46321380,4,Wood_block-Marker 2,0.30564258,1.52010083,1.47197974,6,Wood_block-Marker 3
rigidbody,6,0.05000000,"Ground",1,0,3,0.30245143,0.05545687,-0.08069573,1,0.00424846,0.05391235,-0.07620025,2,-0.00329578,0.05447849,-0.47455642,3,0.30245140,0.05545687,-0.08069571,0.00424846,0.05391235,-0.07620023,-0.00329577,0.05447849,-0.47455645,1,1,1,0.99994040,0.99997020,0.99997020,0.00000002
rigidbody,6,0.05000000,"Wood_block",2,0,3,0.30776516,1.51673520,1.43160069,2,0.31300956,1.48862231,1.46321368,4,0.30564258,1.52010083,1.47197962,6,0.30776513,1.51673520,1.43160069,0.31300953,1.48862231,1.46321380,0.30564258,1.52010083,1.47197974,1,1,1,0.99986219,0.99992919,0.99990314,0.00000005
